Q1,Q2A1,Q2A2,Q2A3,Q2A4,Q3,Q4,Q5,Q6A1,Q6A2,Q6A3,Q6A4,Q6A5,Q6A6,Q6A7,Q6A8,Q7,Q8A1,Q8A2,Q8A3,Q8A4,Q8A5,Q8A6,Q8A7,Q8A8,Q9,Q10,Q11,Q12A1,Q12A2,Q12A3,Q12A4,Q12A5,Q13A1,Q13A2,Q13A3,Q13A4,Q14A1,Q14A2,Q14A3,Q14A1A1,Q14A1A2,Q14A2A1,Q14A2A2,Q15A1,Q15A2,Q16A1,Q17A1,Q17A2,Q17A3,Q18,Q19A1,Q19A2,Q19A3,Q19A4,Q19A5,Q20,Q21A1,Q21A2,Q21A3,Q21A4,Q21A5,Q21A6,Q22A1,Q22A2,Q23A1A1,Q23A1A2,Q23A1A3,Q23A1A4,Q23A2A1,Q23A2A2,Q23A2A3,Q23A2A4,Q24A1A1,Q24A1A2,Q24A1A3,Q24A1A4,Q24A1A5,Q24A1A6,Q24A1A7,Q24A2A1,Q24A2A2,Q24A2A3,Q24A2A4,Q24A2A5,Q24A2A6,Q24A2A7,Q25,Q26,Q27A1,Q27A2,Q27A3,Q28A1,Q28A2,Q28A3,Q29A1,Q29A2,Q29A3,Q29A4,Q29A5,Q29A6,Q29A7,Q29A8,Q30,Q31A1,Q31A2,Q31A3,Q32A1,Q32A2,Q32A3,Q32A4,Q32A5,Q32A6,Q32A7,Q33,Q34A1,Q34A2,Q34A3,Q34A4,Q34A5,Q34A6,Q34A7,Q34A8,Q34A9,Q34A10,Q35,Q36A1,Q36A2,Q36A3,Q36A4,Q36A5,Q36A6,Q37,Q38,Q39A1,Q39A2,Q39A3,Q39A4,Q39A5,Q39A6,Q40,Q41,Q41A1,Q41A2,Q41A3,Q42A1,Q42A2,Q42A3,Q42A4,Q42A5,Q42A6,Q42A9,D_ARA,D_IND,D_INDSIZE1,D_TYPE,WT
1,2,2,1,1,5,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,5,1,1,2,2,1,2,2,1,2,2,2,0,0,1, , , , ,1,2, , , , ,1,1,1,1,1,0,1,0,0,0,1,1,0,2,2, , , , , , , , , , , , , , , , , , , , , , ,3,3, , , , , , , , , , , , , , ,3, , , , , , , , , , ,3, , , , , , , , , , ,2, , , , , , ,3,1,0,0,1,0,1,1,1,1,0,0,1,5,4,4,4,2,4, ,9,7,71,2,34.6964204
1,1,2,2,2,4,1,2, , , , , , , , ,1,0,0,0,1,0,0,0,0,4,1,1,1,2,1,2,2,1,1,2,2,0,0,1, , , , ,1,2, , , , ,1,1,1,1,1,0,1,1,0,0,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , , ,2,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,2, , , , , , , , , , ,2, , , , , , , , , , ,3, , , , , , ,2,1,0,0,1,0,1,1,1,1,0,0,1,5,4,3,2,4,5, ,9,7,71,2,34.6964204
1,1,2,1,2,5,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,5,1,1,1,2,2,2,2,1,2,1,2,0,0,1, , , , ,1,1,5,10,90,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2, , , , , , , , , , , , , , ,2, , , , , , , , , , ,3, , , , , , , , , , ,2, , , , , , ,3,1,0,0,0,0,1,1,1,2, , , ,3,4,4,4,4,4, ,9,7,71,2,34.6964204
1,1,1,1,2,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,2,2,2,1,1,2,2,0,0,1, , , , ,1,2, , , , ,1,1,1,1,1,0,1,1,0,0,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , , ,3,2, , , , , , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , ,3,1,0,0,1,0,1,1,1,1,0,0,1,2,3,3,2,3,3, ,9,7,72,2,4.902556672
1,1,2,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,2,2,1,2,2,2,0,0,1, , , , ,2,2, , , , ,1,1,0,0,1,0,2,1,0,0,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , ,3, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , ,3,1,0,1,0,0,1,1,1,2, , , ,4,4,3,3,3,3, ,99,99,72,9,6.348386043
1,1,2,1,2,2,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2,1,1,1,2,2,2,2,1,1,2,2,0,0,1, , , , ,1,2, , , , ,1,1,1,1,1,0,1,0,0,0,1,1,0,2,2, , , , , , , , , , , , , , , , , , , , , , ,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2, , , , , , , , , , ,2, , , , , , ,3,1,0,1,0,0,1,1,1,2, , , ,5,4,4,4,4,4, ,9,7,72,2,4.902556672
1,1,1,2,1,5,1,2, , , , , , , , ,1,0,0,1,0,1,0,0,0,5,1,2, , , , , , , , , , , , , , , , ,1,2, , , , ,1,1,1,1,1,0,1,1,0,0,1,1,0,2,2, , , , , , , , , , , , , , , , , , , , , , ,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , ,2,1,0,0,0,1,1,1,1,1,0,1,0,4,3,3,3,3,3, ,9,7,72,2,4.902556672
1,1,1,1,2,5,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,5,1,1,1,2,1,1,2,1,1,1,1,0,0,1, , , , ,1,1,4,90,10,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3, , , , , , , , , , , , , , ,3, , , , , , , , , , ,1,0,0,0,1,0,0,0,0,0,0,3, , , , , , ,4,1,0,0,1,0,1,1,1,1,0,0,1,4,4,4,4,3,4, ,9,7,72,2,4.902556672
1,1,1,1,2,4,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,2,2,2,1,1,2,2,0,0,1, , , , ,1,2, , , , ,1,1,1,1,1,0,1,1,1,0,1,1,0,2,2, , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,2, , , , , , , , , , ,2, , , , , , ,3,1,1,1,0,1,1,1,1,1,0,1,0,3,3,3,3,2,3, ,9,7,72,2,4.902556672
1,1,1,1,2,5,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,5,2,1,1,1,2,2,2,1,1,2,2,0,0,1, , , , ,1,2, , , , ,1,1,1,1,1,0,1,1,1,0,1,1,0,2,1, , , , ,1,0,0,0, , , , , , , ,1,1,0,0,1,1,0,1,2, , , , , , , , , , , , , , ,1,0,1,0,1,0,0,0,1,0,0,2, , , , , , , , , , ,2, , , , , , ,3,1,1,1,0,1,1,1,1,1,0,1,0,5,5,5,5,5,5, ,4,8,81,2,30.04035656
1,1,2,1,2,5,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,5,1,1,1,1,2,2,2,1,1,2,2,0,1,0, , ,1,2,2,2, , , , ,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2, , , , , , ,1,1,1,1,0,1,1,1,2,1,0,1,0,5,3,5,5,5,5, ,9,8,81,2,30.50208903
1,1,2,2,2,5,1,2, , , , , , , , ,1,0,0,0,1,0,0,0,0,5,1,2, , , , , , , , , , , , , , , , ,1,2, , , , ,1,1,1,1,0,0,1,1,0,0,1,1,0,2,2, , , , , , , , , , , , , , , , , , , , , , ,1,2, , , , , , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , ,3,1,1,0,0,1,1,1,1,1,0,1,0,5,5,5,5,1,3, ,99,99,81,9,39.49756204
1,1,1,1,2,5,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,5,5,1,1,1,1,2,1,1,1,2,2,0,1,0, , ,1,2,1,2, , , , ,1,1,1,1,1,0,1,1,1,0,1,1,0,2,1, , , , ,1,0,1,0, , , , , , , ,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,2, , , , , , , , , , ,2, , , , , , ,3,1,1,1,1,0,1,1,1,1,0,0,1,5,5,3,4,1,5, ,4,8,81,2,30.04035656
1,1,1,1,2,5,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,5,1,1,1,1,2,2,2,1,1,2,2,0,1,0, , ,1,2,1,2, , , , ,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2, , , , , , , , , , , , , , ,1,0,1,0,1,0,0,0,1,0,0,2, , , , , , , , , , ,2, , , , , , ,3,1,1,1,1,0,1,0,1,1,0,0,1,5,5,3,5,5,3, ,9,8,82,2,6.480397142
1,1,2,1,2,5,1,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,5,1,1,1,1,2,2,2,1,1,1,1,0,0,1, , , , ,1,1,2,0,95,5,1,1,1,1,1,0,1,1,1,0,1,1,0,2,2, , , , , , , , , , , , , , , , , , , , , , ,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2, , , , , , ,3,1,1,1,0,1,1,1,1,1,0,1,0,4,4,4,4,4,4, ,9,8,82,2,6.480397142
1,1,1,1,2,5,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,5,1,1,1,1,2,2,2,1,1,2,1,0,1,0, , ,1,2,1,2, , , , ,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,2, , , , , , , , , , ,2, , , , , , ,3,1,1,1,1,1,1,1,1,1,1,0,0,5,5,5,5,5,5, ,9,8,82,2,6.480397142
1,1,1,1,2,5,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,5,1,1,1,1,2,2,2,1,2,2,2,0,0,1, , , , ,1,2, , , , ,1,1,1,1,1,0,1,1,1,0,1,1,0,2,2, , , , , , , , , , , , , , , , , , , , , , ,1,2, , , , , , , , , , , , , , ,1,0,1,0,1,0,0,0,1,0,0,2, , , , , , , , , , ,2, , , , , , ,3,1,1,1,0,1,1,1,1,1,1,0,0,5,4,3,3,2,3, ,9,8,82,2,6.480397142
1,1,2,2,2,5,1,2, , , , , , , , ,1,0,0,0,1,0,0,0,0,5,1,2, , , , , , , , , , , , , , , , ,2,2, , , , ,1,1,1,1,1,0,1,1,1,0,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , , ,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2, , , , , , , , , , ,3, , , , , , , , , , ,2, , , , , , ,3,1,0,0,0,0,1,1,1,2, , , ,3,2,2,2,2,3, ,9,9,91,2,3.834284027
1,1,2,2,2,5,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,5,1,1,1,1,1,2,1,1,1,1,1,0,1,0, , ,1, ,1,1,2,80,20,0,1,1,1,1,1,0,1,0,0,0,1,1,0,2,2, , , , , , , , , , , , , , , , , , , , , , ,1,2, , , , , , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , ,3,1,0,1,0,1,1,1,1,1,0,1,0,4,3,3,3,3,3, ,9,9,91,2,3.834284027
1,1,2,1,2,5,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,5,1,1,1,2,2,2,2,1,1,1,1,0,0,1, , , , ,1,1,3,70,30,0,1,1,1,1,1,0,1,0,0,0,0,0,1,2,2, , , , , , , , , , , , , , , , , , , , , , ,3,3, , , , , , , , , , , , , , ,3, , , , , , , , , , ,3, , , , , , , , , , ,3, , , , , , ,3,1,0,0,0,1,1,1,1,1,0,1,0,3,4,3,3,3,3, ,9,9,91,2,3.834284027
1,1,2,2,2,5,1,2, , , , , , , , ,1,0,0,0,1,0,0,0,0,5,1,1,1,2,2,2,2,1,1,2,2,0,0,1, , , , ,1,2, , , , ,1,1,1,1,1,0,1,0,0,0,0,0,1,2,2, , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , ,3,1,0,1,0,1,1,1,1,1,0,1,0,4,3,3,3,3,4, ,9,9,91,2,3.834284027
1,1,2,2,2,5,1,2, , , , , , , , ,1,0,0,0,1,0,0,0,0,5,1,2, , , , , , , , , , , , , , , , ,1,2, , , , ,1,1,1,1,1,0,1,1,1,0,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , , ,2,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , ,3,1,1,1,0,1,1,1,1,1,0,1,0,4,3,3,3,3,3, ,9,9,91,2,3.834284027
1,1,2,2,2,5,1,2, , , , , , , , ,1,0,1,0,1,0,0,0,0,5,1,1,1,2,2,2,2,1,2,2,2,0,0,1, , , , ,1,2, , , , ,1,1,1,1,1,0,1,1,0,0,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , ,3,1,0,0,0,1,1,1,1,1,0,1,0,4,3,3,3,3,4, ,9,9,92,2,3.726356895
1,1,2,2,2,5,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,5,1,2, , , , , , , , , , , , , , , , ,1,2, , , , ,1,1,1,1,1,0,1,0,0,0,0,1,0,2,2, , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , ,3,1,0,0,0,1,1,1,1,1,0,1,0,4,3,3,3,3,3, ,9,10,101,2,22.79994646
1,1,2,2,2,2,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2,1,1,2,2,1,2,2,1,1,2,2,0,0,1, , , , ,2,2, , , , ,1,1,1,1,1,0,1,1,0,0,1,1,0,2,2, , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , ,3,1,0,0,0,0,1,1,1,2, , , ,5,3,1,3,1,1, ,4,10,101,2,22.45480697
1,1,1,1,2,4,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,2,2,2,2,1,2,2,2,0,0,1, , , , ,1,2, , , , ,1,1,1,1,1,0,1,0,0,0,0,0,1,2,2, , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , ,3,1,1,0,1,0,1,1,1,1,0,0,1,4,3,3,3,3,3, ,9,10,101,2,22.79994646
1,1,2,1,2,5,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,5,1,1,1,2,2,2,2,1,2,2,2,0,0,1, , , , ,2,2, , , , ,1,1,1,1,1,0,1,1,0,0,1,0,0,2,2, , , , , , , , , , , , , , , , , , , , , , ,3,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,3, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , ,4,1,0,0,0,0,1,1,1,2, , , ,4,3,3,3,4,4, ,9,11,111,2,32.36208985
1,1,2,2,2,3,1,2, , , , , , , , ,1,0,0,0,1,0,0,0,0,3,1,1,1,2,2,2,2,1,1,2,2,0,0,1, , , , ,2,2, , , , ,1,1,1,1,1,0,1,1,0,0,1,1,0,2,2, , , , , , , , , , , , , , , , , , , , , , ,1,2, , , , , , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , ,3,1,1,1,1,0,1,1,1,1,0,0,1,5,5,5,5,1,3, ,9,11,111,2,32.36208985
1,1,2,1,2,5,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,5,1,2, , , , , , , , , , , , , , , , ,2,2, , , , ,1,1,1,1,1,0,1,0,0,0,1,0,0,2,2, , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , ,3,1,1,1,0,1,1,1,1,1,0,1,0,5,5,5,5,1,5, ,9,11,111,1,41.90610192
1,1,2,2,2,5,1,2, , , , , , , , ,1,0,0,0,1,0,0,0,0,5,1,1,2,2,1,2,2,1,1,2,2,0,0,1, , , , ,2,2, , , , ,1,1,1,1,1,0,1,0,0,0,1,1,0,2,2, , , , , , , , , , , , , , , , , , , , , , ,1,3, , , , , , , , , , , , , , ,3, , , , , , , , , , ,3, , , , , , , , , , ,3, , , , , , ,4,1,0,0,0,0,1,1,1,2, , , ,4,4,4,4,3,4, ,9,11,111,1,41.90610192
1,1,2,1,2,5,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,5,1,1,1,1,2,2,2,1,1,2,2,0,0,1, , , , ,2,2, , , , ,1,1,1,1,1,0,1,0,0,0,1,1,0,2,2, , , , , , , , , , , , , , , , , , , , , , ,1,2, , , , , , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , ,3,1,0,1,0,0,1,1,1,2, , , ,4,2,2,3,1,4, ,9,11,111,1,41.90610192
1,1,2,2,2,5,1,2, , , , , , , , ,1,0,0,1,0,0,0,0,0,5,1,2, , , , , , , , , , , , , , , , ,2,2, , , , ,1,1,1,1,1,0,1,0,0,0,0,0,1,2,2, , , , , , , , , , , , , , , , , , , , , , ,3,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,3, , , , , , , , , , ,3, , , , , , , , , , ,3, , , , , , ,4,1,0,0,0,0,1,1,1,2, , , ,4,4,4,4,3,4, ,9,11,111,1,41.90610192
1,1,2,1,2,5,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,5,1,1,2,2,1,2,2,1,2,2,2,0,0,1, , , , ,1,2, , , , ,1,1,1,1,1,0,1,0,0,0,1,1,0,2,2, , , , , , , , , , , , , , , , , , , , , , ,1,2, , , , , , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , ,3,1,1,1,0,0,1,1,1,2, , , ,4,3,3,4,1,3, ,9,11,111,1,41.90610192
1,1,2,1,2,5,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,5,1,1,1,2,2,2,2,1,2,2,2,0,0,1, , , , ,2,2, , , , ,1,1,1,1,1,0,1,0,0,0,1,1,0,2,1, , , , ,1,0,1,0, , , , , , , ,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , ,3,1,1,1,1,0,1,1,1,1,0,0,1,5,4,2,1,1,1, ,9,11,111,2,32.36208985
1,1,1,1,2,5,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,5,1,1,1,2,2,2,2,1,1,2,2,0,0,1, , , , ,2,2, , , , ,1,1,1,1,1,0,1,1,0,0,1,1,0,2,2, , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,2, , , , , , , , , , ,2, , , , , , ,3,1,1,0,0,0,1,1,1,2, , , ,5,5,3,4,1,4, ,9,11,111,2,32.36208985
1,1,2,1,2,5,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,5,1,1,1,2,2,2,2,1,1,2,2,0,0,1, , , , ,1,2, , , , ,1,1,1,1,1,0,1,1,1,0,1,1,0,2,2, , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,2, , , , , , , , , , ,2, , , , , , ,3,1,1,1,0,0,1,1,1,2, , , ,5,5,5,5,1,5, ,9,11,111,2,32.36208985
1,1,2,2,2,5,1,2, , , , , , , , ,1,0,0,0,1,0,0,0,0,5,1,1,1,2,2,2,2,1,1,2,2,0,0,1, , , , ,1,2, , , , ,1,1,1,1,1,0,1,1,0,0,1,1,0,2,2, , , , , , , , , , , , , , , , , , , , , , ,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , ,3,1,1,1,1,0,1,1,1,1,0,0,1,5,4,4,4,1,1, ,4,11,111,2,31.87220118
1,1,2,1,2,5,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,5,1,1,1,2,2,2,2,1,1,2,2,0,0,1, , , , ,2,2, , , , ,1,1,1,1,1,0,1,1,0,0,0,1,0,2,2, , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , ,3,1,1,1,0,0,1,1,1,2, , , ,5,5,2,2,1,1, ,4,11,111,2,31.87220118
1,1,2,1,2,5,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,5,1,1,1,1,2,2,2,1,1,2,2,0,0,1, , , , ,1,2, , , , ,1,1,1,1,1,0,1,0,0,1,1,1,0,2,2, , , , , , , , , , , , , , , , , , , , , , ,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,2, , , , , , , , , , ,2, , , , , , ,3,1,1,1,0,1,1,1,1,1,0,1,0,5,5,5,5,1,5, ,9,11,111,2,32.36208985
1,1,2,1,2,5,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,5,1,1,1,1,2,2,2,1,1,2,2,0,0,1, , , , ,2,2, , , , ,1,1,1,1,1,0,1,1,0,0,1,1,0,2,2, , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,2, , , , , , , , , , ,2, , , , , , ,3,1,0,1,0,1,1,1,1,1,0,1,0,5,5,5,5,1,5, ,9,11,111,2,32.36208985
1,1,2,1,2,5,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,5,1,1,1,1,2,2,2,1,1,2,2,0,0,1, , , , ,1,2, , , , ,1,1,1,1,1,0,1,1,0,0,0,1,0,2,1, , , , ,1,0,1,0, , , , , , , ,1,1,0,0,1,1,0,2,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , ,3,1,1,1,1,0,1,1,1,1,0,0,1,5,5,5,5,1,5, ,9,11,112,2,6.570483539
1,1,1,1,2,5,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,5,1,1,1,1,2,2,2,1,1,2,2,0,0,1, , , , ,1,2, , , , ,1,1,1,1,1,0,1,1,0,0,1,1,0,2,2, , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,2, , , , , , , , , , ,2, , , , , , ,3,1,1,1,0,1,1,1,1,1,0,1,0,5,4,4,4,1,3, ,9,11,112,2,6.570483539
1,1,1,1,2,5,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,5,1,1,1,1,2,2,1,1,1,2,2,0,1,0, , ,1,2,1,2, , , , ,1,1,1,1,1,0,1,1,0,0,1,1,0,2,1, , , , ,1,0,1,0, , , , , , , ,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,2, , , , , , , , , , ,2, , , , , , ,3,1,1,1,0,1,1,1,1,1,0,1,0,5,4,5,3,1,3, ,9,11,112,2,6.570483539
1,1,2,2,2,5,1,2, , , , , , , , ,1,0,1,0,1,0,0,0,0,5,1,1,1,2,2,2,2,1,1,2,2,0,0,1, , , , ,2,2, , , , ,1,1,1,1,1,0,1,1,0,0,0,1,0,2,2, , , , , , , , , , , , , , , , , , , , , , ,3,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,3, , , , , , , , , , ,3, , , , , , , , , , ,3, , , , , , ,4,1,0,0,0,0,1,1,1,2, , , ,4,4,4,4,3,4, ,9,11,112,2,6.570483539
1,1,2,1,2,5,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,5,1,1,1,2,2,2,2,1,1,2,2,0,0,1, , , , ,2,2, , , , ,1,1,1,1,1,0,1,0,0,0,1,1,0,2,2, , , , , , , , , , , , , , , , , , , , , , ,1,2, , , , , , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , ,3,1,1,1,0,0,1,1,1,2, , , ,4,2,2,2,1,2, ,4,11,112,2,6.471021315
1,1,1,2,2,5,1,2, , , , , , , , ,1,0,1,1,0,1,0,0,0,5,1,1,1,2,2,2,2,1,1,2,2,0,0,1, , , , ,1,2, , , , ,1,1,1,1,1,0,1,1,0,0,1,1,0,2,2, , , , , , , , , , , , , , , , , , , , , , ,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,3, , , , , , , , , , ,2, , , , , , , , , , ,3, , , , , , ,4,1,0,1,0,1,1,1,1,1,0,1,0,4,4,4,4,3,4, ,9,11,112,2,6.570483539
1,1,2,1,2,5,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,5,1,1,1,1,1,2,1,1,1,2,2,0,0,1, , , , ,1,2, , , , ,1,1,0,0,1,0,1,0,0,0,1,1,0,2,2, , , , , , , , , , , , , , , , , , , , , , ,1,2, , , , , , , , , , , , , , ,1,0,1,0,0,0,0,0,1,0,0,2, , , , , , , , , , ,2, , , , , , ,3,1,0,0,1,0,1,1,1,1,0,0,1,2,2,3,3,3,3, ,9,12,121,2,28.18728348
1,1,2,1,2,4,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,4,2,2, , , , , , , , , , , , , , , , ,1,2, , , , ,1,1,1,1,1,0,1,1,1,0,1,1,0,2,2, , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2, , , , , , , , , , ,2, , , , , , ,2,1,1,1,0,1,1,1,1,1,0,1,0,5,5,5,4,4,4, ,9,12,121,2,28.18728348
1,1,1,2,2,4,2,2, , , , , , , , ,1,0,0,1,0,1,0,0,0,1,1,2, , , , , , , , , , , , , , , , ,2,2, , , , ,1,1,0,0,0,0,1,1,0,0,0,0,0,2,2, , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , ,3,1,0,0,1,0,1,1,1,1,0,0,1,3,1,1,2,1,2, ,9,12,121,2,28.18728348
